2018;05;1;16,1;
2018;05;2;15,4;
2018;05;3;18,5;
2018;05;4;16,3;
2018;05;5;12,7;
2018;05;6;18,8;
2018;05;7;17,3;
2018;05;8;16,9;
2018;05;9;15;
2018;05;10;14,6;
2018;05;11;21,4;
2018;05;12;22,1;
2018;05;13;21,3;
2018;05;14;22,9;
2018;05;15;21,4;
2018;05;16;22,5;
2018;05;17;23,7;
2018;05;18;27,6;
2018;05;19;27,7;
2018;05;20;20,8;
2018;05;21;20,4;
2018;05;22;21,2;
2018;05;23;24,7;
2018;05;24;18;
2018;05;25;19,3;
2018;05;26;23,5;
2018;05;27;24,9;
2018;05;28;28,4;
2018;05;29;32,2;
2018;05;30;32,8;
2018;05;31;24,7;
2018;06;1;24,5;
2018;06;2;26,5;
2018;06;3;29;
2018;06;4;23;
2018;06;5;22,7;
2018;06;6;25,8;
2018;06;7;18,6;
2018;06;8;23,5;
2018;06;9;28;
2018;06;10;23,1;
2018;06;11;27,6;
2018;06;12;29,3;
2018;06;13;23,2;
2018;06;14;24,6;
2018;06;15;29,1;
2018;06;16;23,7;
2018;06;17;20,5;
2018;06;18;25,2;
2018;06;19;29,6;
2018;06;20;33,3;
2018;06;21;29,4;
2018;06;22;35,8;
2018;06;23;27,3;
2018;06;24;30,7;
2018;06;25;27,1;
2018;06;26;26,2;
2018;06;27;23,2;
2018;06;28;29,5;
2018;06;29;22,3;
2018;06;30;23,6;
2018;07;1;22,1;
2018;07;2;24,4;
2018;07;3;24,2;
2018;07;4;23,2;
2018;07;5;28,5;
2018;07;6;27,5;
2018;07;7;30,8;
2018;07;8;28,2;
2018;07;9;28,8;
2018;07;10;29,9;
2018;07;11;24,1;
2018;07;12;25,1;
2018;07;13;20,3;
2018;07;14;21,8;
2018;07;15;20,4;
2018;07;16;24,2;
2018;07;17;25;
2018;07;18;27,2;
2018;07;19;32,1;
2018;07;20;31,1;
2018;07;21;29,3;
2018;07;22;29,1;
2018;07;23;25,6;
2018;07;24;21,1;
2018;07;25;20,2;
2018;07;26;21,8;
2018;07;27;23,9;
2018;07;28;24,1;
2018;07;29;28,8;
2018;07;30;33,2;
2018;07;31;32,3;
2018;08;1;36,4;
2018;08;2;30;
2018;08;3;28,1;
2018;08;4;29,4;
2018;08;5;32;
2018;08;6;24,6;
2018;08;7;25,2;
2018;08;8;27,3;
2018;08;9;26,8;
2018;08;10;29,3;
2018;08;11;20;
2018;08;12;20,1;
2018;08;13;24,6;
2018;08;14;25,2;
2018;08;15;30;
2018;08;16;23,3;
2018;08;17;27;
2018;08;18;31;
2018;08;19;25,7;
2018;08;20;22;
2018;08;21;20,9;
2018;08;22;20,9;
2018;08;23;22,1;
2018;08;24;28,8;
2018;08;25;28,4;
2018;08;26;28,4;
2018;08;27;26;
2018;08;28;24;
2018;08;29;27,1;
2018;08;30;30,4;
2018;08;31;27,8;
2018;09;1;17,9;
2018;09;2;16,5;
2018;09;3;17,5;
2018;09;4;20,5;
2018;09;5;22,6;
2018;09;6;23,8;
2018;09;7;18,7;
2018;09;8;21,4;
2018;09;9;24,1;
2018;09;10;16,5;
2018;09;11;18,9;
2018;09;12;17,3;
2018;09;13;18,2;
2018;09;14;15,8;
2018;09;15;16,9;
2018;09;16;13,5;
2018;09;17;16,3;
2018;09;18;15,4;
2018;09;19;15,8;
2018;09;20;16,7;
2018;09;21;15,5;
2018;09;22;18,4;
2018;09;23;17,4;
2018;09;24;12,6;
2018;09;25;16,5;
2018;09;26;18,1;
2018;09;27;22;
2018;09;28;20,5;
2018;09;29;21,4;
2018;09;30;20,2;
2018;10;1;17,4;
2018;10;2;18,9;
2018;10;3;14,2;
2018;10;4;15,1;
2018;10;5;19,1;
2018;10;6;13;
2018;10;7;13,9;
2018;10;8;14,2;
2018;10;9;13,4;
2018;10;10;15,2;
2018;10;11;17,5;
2018;10;12;18,6;
2018;10;13;17,8;
2018;10;14;20,4;
2018;10;15;22,3;
2018;10;16;23,9;
2018;10;17;23,7;
2018;10;18;13,1;
2018;10;19;13,7;
2018;10;20;14,2;
2018;10;21;17,8;
2018;10;22;13,1;
2018;10;23;10,7;
2018;10;24;14;
2018;10;25;16,5;
2018;10;26;15,7;
2018;10;27;12;
2018;10;28;10,1;
2018;10;29;10,9;
2018;10;30;7,9;
2018;10;31;9,1;
